Name,SMILES,Properties,Molecular Weight,LogP,Hydrogen Donors,Hydrogen Acceptors,Therapeutic Class,Chemical Structure Type,Origin,Half-Life,Metabolism,Protein Binding
"Doxycycline","C[C@@H]1[C@H]([C@H](C(=O)C(=C(/C(=O)[C@@]2([C@@H]1c3cccc(c3C(=O)C2)O)O)\O)C(=O)N)O)N(C)C)O","Antibiotic","444.43","0.58","6","8","Tetracycline Antibiotic","Tetracycline","Natural/Synthetic","18-22 hours","Liver","80-95%"
"Enalapril","CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CCC[C@H]2C(=O)O","Hypertension Medication","376.45","0.64","2","4","ACE Inhibitor","Dipeptide","Synthetic","11 hours","Liver/Kidney","50%"
"Famotidine","C1=C(N=C(S1)NC(=N)N)CSCCC(=N)NS(=O)(=O)N","Acid Reducer","337.45","0.64","4","6","H2 Receptor Antagonist","Thiazole","Synthetic","2.5-3.5 hours","Liver","15-20%"
"Fenofibrate","CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl","Cholesterol Medication","360.83","5.28","0","3","Lipid Lowering","Fibrate","Synthetic","20 hours","Liver","99%"
"Fluphenazine","c1cc2c(c(c1)OCCCN3CCN(CC3)CCc4ccc(c(c4)CF)CF)Sc5c(c(ccc5)F)N2","Antipsychotic","437.52","4.36","1","4","Typical Antipsychotic","Phenothiazine","Synthetic","33 hours","Liver",">99%"
"Furosemide","c1cc(c(c(c1)Cl)NS(=O)(=O)c2ccc(c(c2)O)CC(=O)O)N","Diuretic","330.74","2.03","2","5","Loop Diuretic","Sulfonamide","Synthetic","2 hours","Liver","95%"
"Gemfibrozil","CC(C)(C)OC1=CC=C(C=C1)CCCC(=O)O","Cholesterol Medication","250.33","3.41","1","2","Lipid Lowering","Fibrate","Synthetic","1.5 hours","Liver","95%"
"Hydrochlorothiazide","c1cc2c(c(c1)Cl)[nH]c(c(c2)S(=O)(=O)N)S(=O)(=O)N","Diuretic","297.74","0.07","2","5","Thiazide Diuretic","Benzothiadiazine","Synthetic","6-15 hours","Kidney","40-70%"
"Hydromorphone","CN1CC[C@]23c4c5c(c(c2[C@H]1CC(=O)[C@@H]3O)O)ccc(c4)O[C@H]5","Pain Medication","285.34","1.20","1","3","Opioid Analgesic","Morphinan","Synthetic","2-3 hours","Liver","20%"
"Imipramine","CN(C)CCCN1c2ccccc2-c3ccccc3C1","Antidepressant","280.41","4.80","0","1","TCA Antidepressant","Dibenzazepine","Synthetic","11-25 hours","Liver","86-95%"
"Ipratropium","CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O)C","Bronchodilator","430.40","0.76","1","4","Anticholinergic","Quaternary Ammonium","Synthetic","2 hours","Liver","<20%"
"Isosorbide Dinitrate","C1C(C2C(O1)C(C(O2)O[N+](=O)[O-])O)O[N+](=O)[O-]","Vasodilator","236.14","1.31","1","8","Vasodilator","Nitrate","Synthetic","1 hour","Liver","<5%"
"Labetalol","CC(C)NCC(COCs","Beta Blocker","328.41","2.55","3","4","Cardiovascular","Aryloxypropanolamine","Synthetic","6 hours","Liver","50%"
"Lactulose","C(C1C(C(C(C(O1)O)O)O)O[C@@H]2C(C(O[C@H](C2O)O)CO)O)O","Laxative","342.30","-3.20","8","11","Laxative","Disaccharide","Synthetic","N/A","Minimal","N/A"
"Loperamide","CC(C)(C)C(=O)N1CCC(CC1)N(C2=CC=C(C=C2)Cl)C(=O)C3=CC=CC=C3","Antidiarrheal","477.04","4.82","1","3","Antidiarrheal","Piperidine","Synthetic","9-14 hours","Liver","97%"
"Methotrexate","CN(C)c1ccc(cc1)CC2=c(c(c(c(n2)N)N)C(=O)O)C(=O)O","Anticancer","454.44","0.52","5","8","Antimetabolite","Pteridine","Synthetic","3-15 hours","Liver","50%"
"Metoclopramide","CCN(CC)c1cc(c(c(c1)OC)Cl)C(=O)N","Antiemetic","299.80","2.62","2","4","Antiemetic","Benzamide","Synthetic","5-6 hours","Liver","30%"
"Metyrosine","C[C@H](c1ccc(c(c1)O)O)(C(=O)O)N","Antihypertensive","195.22","0.52","3","4","Tyrosine Hydroxylase Inhibitor","Catecholamine Derivative","Synthetic","3-4 hours","Minimal","10%"
"Miconazole","c1cc(c(c(c1)Cl)Cl)COCC2=CN=CN2","Antifungal","416.13","6.10","0","3","Azole Antifungal","Imidazole","Synthetic","20-25 hours","Liver","90%"
"Midazolam","Cc1c2c(c(c(c3c1cccc3)Cl)[n+](c(c2)C)[O-])C4=CC=CC=C4","Sedative","325.77","3.89","0","3","Benzodiazepine","Imidazobenzodiazepine","Synthetic","1-6 hours","Liver","97%"
"Nifedipine","CC1=C(C(=C(C(=N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC","Blood Pressure Medication","346.33","2.20","1","6","Calcium Channel Blocker","Dihydropyridine","Synthetic","2-5 hours","Liver","95%"
"Nitroglycerin","C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-]","Vasodilator","227.09","1.62","0","9","Vasodilator","Nitrate","Synthetic","1-4 minutes","Liver","<1%"
"Oxycodone","C[C@]12CC[C@H]3[C@H]([C@@H]1CC4=C2C(=C(C=C4)O)O[C@H]3C(=O)C)CN(C)C","Pain Medication","315.36","0.82","1","3","Opioid Analgesic","Morphinan","Synthetic","3-4.5 hours","Liver","45%"
"Phenylephrine","c1ccc(c(c1)O)[C@@H](CNC)O","Decongestant","167.21","0.31","2","3","Alpha-1 Agonist","Phenylethanolamine","Synthetic","2-3 hours","Liver","N/A"
"Prazosin","COc1cc2c(c(c1)OC)nc(nc2N)N3CCN(CC3)C(=O)c4ccco4","Antihypertensive","383.40","2.14","2","5","Alpha-1 Blocker","Quinazoline","Synthetic","2-3 hours","Liver","97%"
"Prednisone","C[C@]12C[C@@H]([C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)C=C[C@]34C)O","Anti-inflammatory","358.43","1.46","2","5","Corticosteroid","Steroid","Synthetic","2-3 hours","Liver","70%"
"Propafenone","CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O","Antiarrhythmic","341.44","3.00","2","3","Antiarrhythmic","Phenylpropanolamine","Synthetic","10-20 hours","Liver","85-97%"
"Risperidone","CC1=C(C(=O)N2C(=C1)CCN3CCC(CC3)c4c(c(c(cn4)F)O)O)C","Antipsychotic","410.48","3.27","1","4","Atypical Antipsychotic","Benzisoxazole","Synthetic","20 hours","Liver","90%"
"Sotalol","CC(C)NCC(COC1=CC=C(C=C1)NS(=O)(=O)C)O","Antiarrhythmic","272.36","0.24","2","4","Beta Blocker","Sulfonamide","Synthetic","12 hours","Kidney","<5%"
"Spironolactone","CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2([C@@H]3[C@@H]1[C@@H]4CC[C@](C(=O)C)([C@]4(CC3)C)O)C","Diuretic","416.57","2.78","0","5","Aldosterone Antagonist","Steroidal","Synthetic","1.4 hours","Liver",">90%"
"Tetracycline","CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)N(C)C)O)O","Antibiotic","444.43","0.58","6","8","Tetracycline Antibiotic","Tetracycline","Natural/Synthetic","6-11 hours","Liver","65%"
"Triamterene","c1cc(c(c(c1)n2c(c(c(n2)c3ccccc3)N)N)N)N","Diuretic","253.26","1.22","5","5","Potassium-Sparing Diuretic","Pteridine","Synthetic","3 hours","Liver","55-70%"
"Verapamil","CC(C)c1cc(c(c(c1)OC)OC)[C@@H](C#N)CCCN(C)CCC(c2cc(c(c(c2)OC)OC)OC)OC","Calcium Channel Blocker","454.60","3.79","0","6","Cardiovascular","Phenylalkylamine","Synthetic","2-8 hours","Liver","90%"
"Acetazolamide","CC(=O)Nc1sc(nn1)S(=O)(=O)N","Diuretic","222.24","0.26","2","5","Carbonic Anhydrase Inhibitor","Thiadiazole","Synthetic","3-9 hours","Minimal","90-95%"
"Allopurinol","c1c2c(nc(n1)O)[nH]c(n2)O","Gout Medication","136.11","0.55","2","3","Xanthine Oxidase Inhibitor","Purine","Synthetic","1-2 hours","Liver","<1%"
"Amantadine","C1C2CC3CC1CC(C2)(C3)N","Antiviral","151.25","2.44","1","1","Antiviral","Adamantane","Synthetic","15 hours","Minimal","67%"
"Amitriptyline","CN(C)CCC=C1c2ccccc2C(c3ccccc13)=C","Antidepressant","277.40","4.92","0","1","TCA Antidepressant","Dibenzocycloheptene","Synthetic","10-50 hours","Liver","94-95%"
"Azathioprine","c1cc2c(c(c1)[N+](=O)[O-])[nH]c(n2)SC3=NC=NC4=C3NC=N4","Immunosuppressant","277.26","0.10","1","5","Immunosuppressant","Purine Analog","Synthetic","3-5 hours","Liver","30%"
"Bethanechol","CC(C[N+](C)(C)C)OC(=O)N","Cholinergic","161.22","0.60","1","2","Muscarinic Agonist","Quaternary Ammonium","Synthetic","1-2 hours","Minimal","N/A"
"Bisoprolol","CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O","Beta Blocker","325.44","1.87","2","4","Cardiovascular","Aryloxypropanolamine","Synthetic","9-12 hours","Liver","30%"
"Budesonide","CCC1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@@]1(C(=O)CO)O)O)O)O)C","Anti-inflammatory","430.53","2.78","3","6","Corticosteroid","Steroid","Synthetic","2-3 hours","Liver","85-90%"
"Bupivacaine","CCCCNC1=C(C(=CC=C1)C(=O)N2CCCCC2C)C","Local Anesthetic","288.43","3.41","1","2","Local Anesthetic","Amide","Synthetic","2-8 hours","Liver","95%"
"Captopril","C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O","Hypertension Medication","217.29","0.34","2","3","ACE Inhibitor","Proline Derivative","Synthetic","2 hours","Liver","25-30%"
"Celecoxib","CC1=CC=C(C=C1)C2=CC(=NN2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F","Anti-inflammatory","381.37","3.98","1","3","COX-2 Inhibitor","Pyrazole","Synthetic","11 hours","Liver","97%"
"Chlorambucil","c1cc(ccc1CCCN(C)CCCl)C(=O)O","Anticancer","304.21","1.72","1","3","Alkylating Agent","Nitrogen Mustard","Synthetic","1-2 hours","Liver","99%"
"Chlorthalidone","c1cc2c(c(c(c1)Cl)S(=O)(=O)N)C(=O)NC2c3cccc(c3)O","Diuretic","338.77","0.85","2","5","Thiazide-like Diuretic","Phthalimidine","Synthetic","40-60 hours","Liver","75%"
"Ciprofloxacin","c1cc2c(c(c(c1)F)N3CCNCC3)[nH]c(c(c2)C(=O)O)C","Antibiotic","331.34","0.28","2","5","Fluoroquinolone Antibiotic","Quinolone","Synthetic","4 hours","Liver","20-40%"
"Danazol","CC12CCC3C(C1CCC2O)CC4=CC5=C(C(=O)C=C(C5(C3)O)C)C=C4","Endometriosis Treatment","337.46","3.94","1","3","Androgen","Steroid","Synthetic","4-6 hours","Liver","N/A"
"Diltiazem","CC(=O)OC1[C@@H](CSc2ccccc2N(C1=O)CCN(C)C)c3ccc(c(c3)OC)OC","Calcium Channel Blocker","414.52","2.70","0","6","Cardiovascular","Benzothiazepine","Synthetic","3-4.5 hours","Liver","70-80%"
"Dimenhydrinate","CN1C2=CC=CC=C2C(c3ccccc3)N1CCOC(=O)C4=CC=CC=C4","Antiemetic","469.97","3.12","0","4","Antihistamine","Diphenylmethane","Synthetic","5-6 hours","Liver","78%"
"Efavirenz","c1cc2c(c(c1)Cl)[C@@](C(F)(F)F)(C#C[C@@H](C3CC3)O)OC(=O)N2","Antiviral","315.68","4.60","1","3","NNRTI","Benzoxazinone","Synthetic","40-55 hours","Liver","99%"
"Ethosuximide","CCC1(CC)C(=O)NC(=O)C1","Anticonvulsant","141.17","0.93","1","2","Antiepileptic","Succinimide","Synthetic","30-60 hours","Liver","<5%"
"Finasteride","CC1C2C(C(C3C2CCC4(C3CCC(=O)N4)C)C)NC1=O","Prostate Medication","372.54","3.03","2","2","5-Alpha Reductase Inhibitor","Steroid","Synthetic","6-8 hours","Liver","90%"
"Fluticasone","CC1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@@]1(C(=O)SCF)O)C)O)F)C)F","Anti-inflammatory","500.57","3.47","2","6","Corticosteroid","Steroid","Synthetic","10 hours","Liver","99%"
"Folic Acid","c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCc2c3c(c(c(n2)N)N)NC(=O)NC3=O","Vitamin","441.40","-1.00","6","9","Vitamin","Pteridine","Natural/Synthetic","N/A","Liver","50-90%"
"Gabapentin","c1ccc(c(c1)CC(=O)O)CC2CCCC(C2)N","Anticonvulsant","171.24","1.10","2","3","Antiepileptic","Amino Acid Derivative","Synthetic","5-7 hours","Kidney","<3%"
"Guanfacine","c1cc(c(c(c1)Cl)CC(=O)NCCN=C(N)N)Cl","ADHD Medication","246.09","1.45","3","4","Alpha-2 Agonist","Phenylacetamide","Synthetic","17 hours","Liver","70%"
"Hydroxyzine","c1cc(c(c(c1)Cl)COCCN2CCN(CC2)c3ccccc3)Cl","Antihistamine","374.90","2.37","1","4","First-Generation Antihistamine","Piperazine","Synthetic","20 hours","Liver","93%"
"Ibutilide","CCN(CCCCCCCS(=O)(=O)NCC)Cc1ccc(cc1)O","Antiarrhythmic","442.62","3.76","1","3","Antiarrhythmic","Sulfonamide","Synthetic","6 hours","Liver","40%"
"Levofloxacin","C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O","Antibiotic","361.37","0.35","2","6","Fluoroquinolone Antibiotic","Quinolone","Synthetic","6-8 hours","Minimal","24-38%"
"Loratadine","CCOC(=O)N1CCC(=C2c3ccc(c(c3)Cl)CCc4c2nccc4)CC1","Antihistamine","382.88","5.20","0","2","Second-Generation Antihistamine","Piperidine","Synthetic","8 hours","Liver","97%"
"Memantine","CC12CC3CC(C1)(CC(C3)(C2)N)C","Alzheimer's Medication","179.30","2.07","1","1","NMDA Receptor Antagonist","Adamantane","Synthetic","60-100 hours","Liver","45%"
"Mesalamine","c1cc(c(c(c1)O)C(=O)O)N","Anti-inflammatory","153.14","0.98","3","3","Anti-inflammatory","Salicylic Acid Derivative","Synthetic","0.5-2 hours","Liver","43-78%"
"Minoxidil","c1cc(c(c(c1)N2CCN(CC2)O)N)[N+](=O)[O-]","Hair Loss Treatment","209.25","1.24","2","4","Vasodilator","Piperidine","Synthetic","4 hours","Liver","N/A"
"Montelukast","CC(C)(c1ccccc1)c2cc(ccc2/C=C/c3cc(c(c(c3)Cl)O)CCC4CC4)O","Anti-Asthmatic","586.18","8.50","1","3","Leukotriene Receptor Antagonist","Quinoline","Synthetic","2.5-5.5 hours","Liver","99%"
"Naproxen","COc1cc2c(c(c1)C(C)C(=O)O)cccc2","Anti-inflammatory","230.26","3.18","1","2","NSAID","Propionic Acid Derivative","Synthetic","12-17 hours","Liver","99%"
"Nortriptyline","CNCCC=C1c2ccccc2C(c3ccccc13)=C","Antidepressant","263.38","4.51","1","1","TCA Antidepressant","Dibenzocycloheptene","Synthetic","18-44 hours","Liver","92%"
"Olmesartan","CCCCC1=NC(=C(N1Cc2ccc(cc2)c3ccccc3c4[nH]nn4)C(=O)O)C","Blood Pressure Medication","446.50","4.50","2","5","Angiotensin II Receptor Antagonist","Imidazole","Synthetic","13 hours","Liver","99%"
"Ondansetron","Cc1c2c(c(c(c3c1cccc3)C)O)[nH]c(n2)C4CCN(C(=O)C4)C","Antiemetic","293.36","2.07","0","3","Antiemetic","Carbazole","Synthetic","5-6 hours","Liver","70-76%"
"Pantoprazole","COc1cc(c(c(c1)OC)SC2=NC3=C(N2)C(=CC=C3)OC(F)F)OC","Acid Reflux Medication","383.37","2.11","1","5","Proton Pump Inhibitor","Benzimidazole","Synthetic","1 hour","Liver","98%"
"Prochlorperazine","Cc1c2c(c(c(c3c1cccc3)Cl)Sc4c(c(ccc4)N5CCN(CC5)CC)O)[nH]c(n2)C","Antiemetic","373.94","4.88","1","3","Typical Antipsychotic","Phenothiazine","Synthetic","6-8 hours","Liver","91-99%"
"Propranolol","c1cc2c(c(c1)OCC(CNC(C)C)O)[nH]c(c(c2)C)O","Beta Blocker","259.34","3.03","2","3","Beta Blocker","Naphthalene","Synthetic","3-6 hours","Liver","90%"
"Quetiapine","c1ccc2c(c1)[nH]c(c(c2)OCCN3CCN(CC3)c4ccccc4)S(=O)(=O)c5ccccc5","Antipsychotic","383.51","2.81","1","4","Atypical Antipsychotic","Dibenzothiazepine","Synthetic","6 hours","Liver","83%"
"Ranitidine","CN/C(=C/[N+](=O)[O-])/NCCSCc1ccc(o1)C","Acid Reducer","314.40","0.27","2","5","H2 Receptor Antagonist","Furan","Synthetic","2-3 hours","Liver","15%"
"Ropinirole","CCCN(CCC1=CC=CC=C1)C(=O)CC2c3ccccc3C(c4c2cccc4)O","Parkinson's Medication","260.37","2.75","1","2","Dopamine Agonist","Indole","Synthetic","6 hours","Liver","40%"
"Sildenafil","CCCC1=NN(C2=C1N=C(N=C2N)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C","Erectile Dysfunction","474.58","2.75","1","5","PDE5 Inhibitor","Pyrazolopyrimidine","Synthetic","4 hours","Liver","96%"
"Sumatriptan","CNS(=O)(=O)CCc1cc2c(c(c1)O)[nH]c(c2)CCN(C)C","Migraine Medication","295.40","1.17","2","3","Antimigraine","Triptan","Synthetic","2.5 hours","Liver","14-21%"
"Tacrolimus","CC[C@@H]1C[C@@H]([C@]2([C@@H](C[C@@H]([C@@H]3[C@H](C[C@H]([C@@](O3)(C(=O)C(=O)N4CCC[C@H]4C(=O)O[C@@H]([C@@H]([C@H](CC1=O)O)C)/C=C(/[C@H]2OC)\C)O)O)OC)O)OC)C)O","Immunosuppressant","804.02","3.30","3","14","Calcineurin Inhibitor","Macrolide","Natural","12 hours","Liver","99%"
"Tamoxifen","CC/C(=C(\c1ccccc1)/c2ccc(cc2)OCCN(C)C)/c3ccccc3","Breast Cancer","371.51","6.30","0","2","Estrogen Receptor Modulator","Triphenylethylene","Synthetic","5-7 days","Liver","99%"
"Tizanidine","c1cc2c(c(c1)Cl)[nH]c(n2)NC3=NCCN3","Muscle Relaxant","253.71","1.94","2","3","Alpha-2 Agonist","Imidazoline","Synthetic","2.5 hours","Liver","30%"
"Tramadol","CNC(C)CC1CCCCC1(C2=CC(=CC=C2)O)O","Pain Medication","263.38","2.45","1","3","Analgesic","Phenylpropylamine","Synthetic","6 hours","Liver","20%"
"Trazodone","c1cc2c(c(c1)Cl)[nH]c(c(c2)OCCCN3CCN(CC3)c4ccccc4)O","Antidepressant","371.86","2.78","1","3","SARI Antidepressant","Triazolopyridine","Synthetic","7 hours","Liver","89-95%"
"Valproic Acid","CCCC(CCC)C(=O)O","Anticonvulsant","144.21","2.76","1","1","Antiepileptic","Carboxylic Acid","Synthetic","9-16 hours","Liver","90%"
"Zileuton","CC(C)(c1cc2c(c(c1)O)[nH]c(s2)C(=O)N)O","Anti-Asthmatic","236.29","2.67","2","3","5-Lipoxygenase Inhibitor","Benzothiophene","Synthetic","2.5 hours","Liver","93%"
